observation_id,vin,target_id,observed_at,scan_id,price_cad,mileage_km,listing_url,listing_id,year,make,model,trim
obs_656129aa36df,1FTFW1E86NKD91289,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,46790,40842,https://www.clutch.ca/vehicles/101542,101542,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_05937779401b,1FTFW1E87NKD85369,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,46890,84000,https://www.clutch.ca/vehicles/102753,102753,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_072fa4728d1a,1FTFW1ED7NFB35619,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,53890,54137,https://www.clutch.ca/vehicles/104904,104904,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
obs_e4c6a69e2165,1FTEW1EP7NFB17238,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,44390,60000,https://www.clutch.ca/vehicles/103912,103912,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_4af0a73b0450,1FTFW1E86NKE45819,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,47090,41017,https://www.clutch.ca/vehicles/106890,106890,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_6dfb36050bdb,1FTEW1EP2MFA74619,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,38490,122054,https://www.clutch.ca/vehicles/106773,106773,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_6a228da5e4c1,1FTFW1ED9MFB39024,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,38190,116244,https://www.clutch.ca/vehicles/99752,99752,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_3fe62b423546,1FTFW1E83MFB22044,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,39790,97385,https://www.clutch.ca/vehicles/101784,101784,2021,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_6a6200c06fa3,1FTEW1EP2MFB72646,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,40690,108488,https://www.clutch.ca/vehicles/95745,95745,2021,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_3649720152da,1FTFW3L52SFA09378,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,62790,32947,https://www.clutch.ca/vehicles/101551,101551,2025,Ford,F-150,XLT 303A Crew Cab Short Bed
obs_dfb5cec68ef9,1FTEW3LP4SKD88226,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,56390,29435,https://www.clutch.ca/vehicles/101717,101717,2025,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_7dec983f21de,1FTFW3L85RFB45931,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,57190,32504,https://www.clutch.ca/vehicles/105561,105561,2024,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_096f61434ac3,1FTEW3LPXRKF42433,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,51890,26677,https://www.clutch.ca/vehicles/101047,101047,2024,Ford,F-150,XLT 301A Crew Cab Short Bed
obs_e8dbede5dd39,1FTEW3LP9RKE62198,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,,22532,https://www.clutch.ca/vehicles/96889,96889,2024,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_692f7f6a08e3,1FTEW3LP1RKF39209,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,54790,31326,https://www.clutch.ca/vehicles/105262,105262,2024,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_b23802b41c4b,1FTEW2LP7RKE96537,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,49590,48956,https://www.clutch.ca/vehicles/106923,106923,2024,Ford,F-150,STX 200A Crew Cab Short Bed
obs_0f867f7f437c,1FTFW1ED6PFA97626,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,,41993,https://www.clutch.ca/vehicles/106118,106118,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_493b52c588df,1FTFW1ED3PFB50802,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,60190,19805,https://www.clutch.ca/vehicles/105109,105109,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_69deb20ab754,1FTFW1ED3PFB05472,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,53790,29000,https://www.clutch.ca/vehicles/110886,110886,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_6ef96a1b0971,1FTFW1E86PFC74145,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,51890,53805,https://www.clutch.ca/vehicles/108202,108202,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_9551382d151f,1FTFW1E52PKE89874,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,53190,56810,https://www.clutch.ca/vehicles/106415,106415,2023,Ford,F-150,XLT 302A Crew Cab Standard Bed
